기관명,기관설명,주소,기관조성년도,기관전화번호,최대수용인원,운영시간
유명산 자연휴양림,자생식물원을 품은 수도권의 숲속 쉼터 유명산 자연휴양림,(12473) 경기 가평군 설악면 유명산길 79-53 ,1989,031-589-5487,3000,09시~18시
산음 자연휴양림,자연 그대로의 모습이 보존된 산음 자연휴양림,(12527) 경기 양평군 단월면 고북길 347 ,2000,031-774-8133,2000,09시~18시
중미산 자연휴양림,중미산 자연휴양림,(12505) 경기 양평군 옥천면 중미산로 1152 ,1991,031-771-7166,500,09시~18시
운악산 자연휴양림,자연을 수놓은 꽃길이 장관인 운악산 자연휴양림,(11123) 경기 포천시 화현면 화동로 184 ,2007,031-534-6330,200,09시~18시
속리산 자연휴양림,"자연 체험과 학습을 위한 최적의 장소, 속리산 말티재 자연휴양림",(28911) 충북 보은군 장안면 속리산로 256 ,2002,043-543-6282,300,09시~18시
오서산 자연휴양림,"충남 서부의 최고 명산, 오서산 자연휴양림",(33422) 충남 보령시 청라면 오서산길 531 ,2001,041-936-5465,1000,09시~18시
희리산 자연휴양림,사계절 해송으로 푸르른 희리산 해송 자연휴양림,(33612) 충남 서천군 종천면 희리산길 206 ,1999,041-953-2230,1000,09시~18시
용현 자연휴양림,"자연 교육과 문화 유적 탐방, 용현 자연휴양림",(31950) 충남 서산시 운산면 마애삼존불길 339 ,2005,041-664-1971,800,09시~18시
상당산성 자연휴양림,산성에서 휴양림으로 이어진 숲 상당산성 자연휴양림,(28150) 충북 청주시 청원구 내수읍 덕암2길 162 ,2012,043-216-0052,150,09시~18시
아세안 자연휴양림,아세안 10개국의 문화 체험을 즐길 수 있는 이색 휴양림 아세안 자연휴양림,(11518) 경기 양주시 백석읍 기산로 472 ,2015,031-871-2796,200,09시~18시
청태산 자연휴양림,인공림과 천연림이 조화된 청태산 자연휴양림,(25261) 강원 횡성군 둔내면 청태산로 610 ,1993,033-343-9707,1000,09시~18시
복주산 자연휴양림,울창한 산림과 맑은 계곡 복주산 자연휴양림,(24065) 강원 철원군 근남면 하오재로 818 ,2003,033-458-9426,300,09시~18시
용화산 자연휴양림,"산림청이 선정한 100대 명산, 용화산 자연휴양림",(24201) 강원 춘천시 사북면 사여골길 294 ,2006,033-243-9261,0,09시~18시
백운산 자연휴양림,"사계절 가족 단위 휴양 공간, 백운산 자연휴양림",(26402) 강원 원주시 판부면 백운산길 81 ,2006,033-766-1063,400,09시~18시
삼봉 자연휴양림,울창한 활엽수가 조화를 이룬 삼봉 자연휴양림,(25170) 강원 홍천군 내면 삼봉휴양길 276 ,1992,033-435-8536,1500,09시~18시
용대 자연휴양림,"오염되지 않은 자연 속 휴식 공간, 용대 자연휴양림",(24605) 강원 인제군 북면 연화동길 7 ,1994,033-462-5031,800,09시~18시
방태산 자연휴양림,수려한 자연경관과 다양한 야생동물을 감상할 수 있는 방태산 자연휴양림,(24656) 강원 인제군 기린면 방태산길 241 ,1997,033-463-8590,600,09시~18시
대관령 자연휴양림,"우리나라 최초의 자연휴양림, 대관령 자연휴양림",(25443) 강원 강릉시 성산면 삼포암길 133 ,1989,033-641-9990,1000,09시~18시
미천골 자연휴양림,"문화 유적 탐방과 자연 교육 체험, 미천골 자연휴양림",(25040) 강원 양양군 서면 미천골길 115 ,1993,033-673-1806,1000,09시~18시
두타산 자연휴양림,조용한 숲속의 작은 쉼터에 여러분을 초대합니다. 두타산 자연휴양림,(25337) 강원 평창군 진부면 아차골길 132 ,2008,033-334-8815,200,09시~18시
가리왕산 자연휴양림,울창한 숲과 야생화 꽃밭이 어우러진 가리왕산 자연휴양림,(26119) 강원 정선군 정선읍 가리왕산로 707 ,1993,033-562-5833,1000,09시~18시
검봉산 자연휴양림,여름철 해변 휴양까지 즐길 수 있는 검봉산 자연휴양림,(25956) 강원 삼척시 원덕읍 임원안길 525-145 ,2008,033-574-2553,300,09시~18시
화천숲속 야영장,산림의 원형을 최대한 보전한 산림청 1호 화천숲속 야영장,(24139) 강원 화천군 간동면 배후령길 1144 화천숲속야영장,2018,033-441-4466,160,09시~18시
대야산 자연휴양림,용의 전설이 살아 있는 대야산자연휴양림,(36993) 경북 문경시 가은읍 용추길 31-35 ,2009,054-550-5230,1000,09시~18시
칠보산 자연휴양림,울창한 소나무 숲과 동해바다를 한번에 칠보산자연휴양림,(36404) 경북 영덕군 병곡면 칠보산길 587 ,1993,054-732-1607,1000,09시~18시
청옥산 자연휴양림,캠핑장계의 5성급 호텔 청옥산자연휴양림,(36271) 경북 봉화군 석포면 청옥로 1552-163 ,1991,054-672-1051,1000,09시~18시
검마산 자연휴양림,아름다운 소나무 숲과 문학이 공존하는 검마산 자연휴양림,(36524) 경북 영양군 수비면 검마산길 191 ,1997,054-682-9009,500,09시~18시
통고산 자연휴양림,태고의 신비함을 그대로 간직한 통고산 자연휴양림,(36300) 경북 울진군 금강송면 불영계곡로 880 ,1992,054-783-3167,500,09시~18시
운문산 자연휴양림,가지산과 운문산의 정기를 품은 오감만족 운문산 자연휴양림,(38368) 경북 청도군 운문면 운문로 763 ,2000,054-373-1327,1000,09시~18시
신불산 자연휴양림,영남알프스의 베이스캠프 신불산 폭포 자연휴양림,(44909) 울산 울주군 상북면 청수골길 175 ,1998,052-254-2123,1000,09시~18시
황정산 자연휴양림,명산이 갖춰야 할 볼거리가 풍부한 황정산 자연휴양림,(27028) 충북 단양군 대강면 황정산로 239-11 ,2007,043-421-0608,150,09시~18시
달음산 자연휴양림,부산광역시 최초의 국립자연휴양림 달음산자연휴양림,(46046) 부산 기장군 일광면 화용길 299-106 ,2018,051-722-3023,150,09시~18시
방장산 자연휴양림,"평야 지대에 우뚝 솟은 호남의 삼신산, 방장산 자연휴양림",(57202) 전남 장성군 북이면 방장로 353 ,2000,061-394-5523,500,09시~18시
덕유산 자연휴양림,"주변 경관이 수려한 휴식의 최적지, 덕유산 자연휴양림",(55563) 전북 무주군 무풍면 구천동로 530-62 ,1993,063-322-1097,730,09시~18시
운장산 자연휴양림,대도시에서 접근성이 용이한 운장산 자연휴양림,(55410) 전북 진안군 정천면 휴양림길 77 ,2000,063-432-1193,600,09시~18시
지리산 자연휴양림,대자연의 장엄함을 간직한 지리산자연휴양림,(50057) 경남 함양군 마천면 음정길 152 ,1996,055-963-8133,1200,09시~18시
남해편백 자연휴양림,치유의 숲! 편백 향이 가득한 남해편백 자연휴양림,(52448) 경남 남해군 삼동면 금암로 658 ,1998,055-867-7881,1000,09시~18시
회문산 자연휴양림,"봄엔 산야초 꽃, 가을엔 붉은 단풍이 회문산 자연휴양림",(56011) 전북 순창군 구림면 안심길 214 ,1993,063-653-4779,500,09시~18시
천관산 자연휴양림,동백나무와 비자나무 숲의 천관산 자연휴양림,(59351) 전남 장흥군 관산읍 칠관로 842-1150 ,1995,061-867-6974,300,09시~18시
낙안민속 자연휴양림,관광 명소가 많아 사계절 이용 가능한 낙안민속 자연휴양림,(57918) 전남 순천시 낙안면 민속마을길 1600 ,2004,061-754-4400,300,09시~18시
변산 자연휴양림,천혜의 자연경관을 자랑하는 바다가 아름다운 숲 변산 자연휴양림,(56340) 전북 부안군 변산면 변산로 3768 ,2014,063-581-9977,500,09시~18시
진도 자연휴양림,명량대첩과 남도소리문화가 숨쉬는  진도 자연휴양림,(58945) 전남 진도군 임회면 동령개길 1-92  ,2017,061-542-2346,150,09시~18시
용지봉 자연휴양림,"김해시에 위치한 용지봉은 경상남도 창원시 불모산동과 김해시 장유면 대청리에 걸쳐 있는 산으로 서쪽으로는 대암산과 이어지고 남쪽은 불모산과 이어지는 갈림길에 존재한다. 용지봉에는 장유폭포로부터 3km정도 이어지는 경치가 수려한 대청계곡이 있으며 또한, 우리나라에 불교가 최초로 전래된 유서깊은 사찰인 장유사가 있다.국립용지봉자연휴양림은 지리적인 접근성이 좋으며 뛰어난 자연경관과 지역문화재 구경 등 다양한 볼거리를 접할 수 있다.",(50991) 경남 김해시 대청계곡길 170-36 국립용지봉자연휴양림,2022,055-326-0133,82,09시~18시
무의도 자연휴양림,"인천의 168개의 크고 작은 섬 중 빼어난 경관을 자랑하는 환상의 섬 ‘무의도’는 섬의 형태가 투구와 장군복을 입고 춤을 추는 것 같아 무의도라 하였고, 함께 있는 섬 중 큰 섬을 대무의도, 작은 섬을 소무의도라 한다.무의도에는 빼어난 조망과 우수한 산림자원으로 등산 코스가 잘 정비되어 있는 호룡곡산·국사봉과 하나개해수욕장, 큰무리해수욕장, 실미도 유원지 등이 있다.국립무의도자연휴양림은 지리적인 접근성이 좋으며 우수한 자연 및 해양경관과 주변 관광자원 등 다양한 볼거리를 접할 수 있다.",(22387) 인천 중구 하나개로 74 ,2022,032-751-0426,88,09시~18시
신시도자연휴양림,"해, 별, 달을 품은 친환경 휴식처 국립신시도자연휴양림",(54000) 전북 군산시 옥도면 신시도길 271 신시도자연휴양림,2021,063-464-5580,2021,09시~18시
