,관광지명,광역시/도,시/군/구,도로명주소,검색건수,date
0,가산수피아,경상북도,칠곡군,경북 칠곡군 학하4길 57-105,1383,202001
1,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,1325,202001
2,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,1073,202001
3,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,1504,202002
4,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,942,202002
5,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,821,202002
6,목계솔밭야영장,충청북도,충주시,충북 충주시,794,202002
7,대저캠핑장,부산광역시,강서구,부산 강서구,741,202002
8,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,739,202002
9,이포보오토캠핑장양촌지구,경기도,여주시,경기 여주시 여양로 1935-177,725,202002
10,승촌보오토캠핑장,광주광역시,남구,광주 남구,709,202002
11,합강공원오토캠핑장,세종특별자치시,세종특별자치시,세종시 태산로 329-0,705,202002
12,망상오토캠핑리조트,강원도,동해시,강원 동해시 동해대로 6370-0,641,202002
13,자라섬오토캠핑장,경기도,가평군,경기 가평군 자라섬로 60-0,635,202002
14,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,629,202002
15,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,621,202002
16,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,3034,202003
17,대저캠핑장,부산광역시,강서구,부산 강서구,2502,202003
18,목계솔밭야영장,충청북도,충주시,충북 충주시,2414,202003
19,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,2089,202003
20,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,1660,202003
21,승촌보오토캠핑장,광주광역시,남구,광주 남구,1652,202003
22,황산문화체육공원국민여가캠핑장,경상남도,양산시,경남 양산시 낙동로 295-19,1530,202003
23,재인폭포오토캠핑장,경기도,연천군,경기 연천군 현문로508번길 140-0,1462,202003
24,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,1363,202003
25,몽산포오션캠핑장,충청남도,태안군,충남 태안군 몽산포길 0-0,1294,202003
26,삼락생태공원오토캠핑장,부산광역시,사상구,부산 사상구,1170,202003
27,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,1169,202003
28,금은모래캠핑장,경기도,여주시,경기 여주시 강변유원지길 107-0,1122,202003
29,망상오토캠핑리조트,강원도,동해시,강원 동해시 동해대로 6370-0,1056,202003
30,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,1006,202003
31,대청호로하스캠핑장,대전광역시,대덕구,대전 대덕구 대청로424번길 200-0,1002,202003
32,영천댐오토캠핑장,경상북도,영천시,경북 영천시 신방로 19-0,995,202003
33,김포한강오토캠핑장,경기도,김포시,경기 김포시 월하로912번길 64-0,913,202003
34,영종씨사이드캠핑장,인천광역시,중구,인천 중구 큰말로 25-0,751,202003
35,망상제2오토캠핑장,강원도,동해시,강원 동해시 동해대로 6220-0,725,202003
36,대부도나라펜션캠핑장,경기도,안산시 단원구,경기 안산시 단원구 장불길 31-23,691,202003
37,임송캠프장,경기도,남양주시,경기 남양주시 금강로746번길 61-0,688,202003
38,나린오토캠핑장,경기도,연천군,경기 연천군 어삼로 391-81,667,202003
39,진위천오토캠핑장,경기도,평택시,경기 평택시,656,202003
40,더드림핑,경기도,남양주시,경기 남양주시 북한강로 1630-18,649,202003
41,노루벌캠핑장,대전광역시,서구,대전 서구,644,202003
42,백로주유원지캠프장,경기도,포천시,경기 포천시 호국로 2671-22,643,202003
43,가산수피아,경상북도,칠곡군,경북 칠곡군 학하4길 57-105,629,202003
44,소풍캠핑장,경기도,용인시 처인구,경기 용인시 처인구 경기동로785번길 30-0,612,202003
45,장호비치캠핑장,강원도,삼척시,강원 삼척시 장호1길 41-0,604,202003
46,두리생태공원오토캠핑장,인천광역시,계양구,인천 계양구,603,202003
47,양평광탄유원지,경기도,양평군,경기 양평군,594,202003
48,휴리조트,경기도,양주시,경기 양주시 만송로366번길 215-29,577,202003
49,몽산포오토캠핑장2구역,충청남도,태안군,충남 태안군,568,202003
50,동막해수욕장캠핑장,인천광역시,강화군,인천 강화군 해안남로 1481-0,559,202003
51,이포보오토캠핑장양촌지구,경기도,여주시,경기 여주시 여양로 1935-177,552,202003
52,동강전망자연휴양림캠핑장,강원도,정선군,강원 정선군 동강로 916-212,551,202003
53,김해생림오토캠핑장,경상남도,김해시,경남 김해시,551,202003
54,어은돌오토캠핑장,충청남도,태안군,충남 태안군 모항파도로 398-70,549,202003
55,김포캠핑파크,경기도,김포시,경기 김포시 용강로 325-0,543,202003
56,추암오토캠핑장,강원도,동해시,강원 동해시 촛대바위길 6-0,542,202003
57,알멕스랜드,경기도,연천군,경기 연천군 왕산로218번길 61-0,529,202003
58,오봉저수지캠핑장,경상북도,김천시,경북 김천시 오봉로 0-0,500,202003
59,캠프통아일랜드,경기도,가평군,경기 가평군 호반로 976-0,499,202003
60,구봉산오토캠핑장나인힐스,경기도,용인시 처인구,경기 용인시 처인구 보개원삼로1372번길 41-0,491,202003
61,캠프운악,경기도,포천시,경기 포천시 금강로 3806-80,491,202003
62,둘레길캠핑장,충청남도,태안군,충남 태안군 꾸지나무길 37-76,489,202003
63,화양동야영장,충청북도,괴산군,충북 괴산군 화양로 733-38,472,202003
64,영종씨사이드카라반,인천광역시,중구,인천 중구,469,202003
65,광교호수공원가족캠핑장,경기도,수원시 영통구,경기 수원시 영통구 광교호수로 57-0,469,202003
66,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,4185,202004
67,몽산포오션캠핑장,충청남도,태안군,충남 태안군 몽산포길 0-0,3464,202004
68,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,2706,202004
69,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,2173,202004
70,대부도나라펜션캠핑장,경기도,안산시 단원구,경기 안산시 단원구 장불길 31-23,1985,202004
71,대저캠핑장,부산광역시,강서구,부산 강서구,1934,202004
72,재인폭포오토캠핑장,경기도,연천군,경기 연천군 현문로508번길 140-0,1902,202004
73,가산수피아,경상북도,칠곡군,경북 칠곡군 학하4길 57-105,1831,202004
74,백로주유원지캠프장,경기도,포천시,경기 포천시 호국로 2671-22,1697,202004
75,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,1682,202004
76,어은돌오토캠핑장,충청남도,태안군,충남 태안군 모항파도로 398-70,1678,202004
77,삼락생태공원오토캠핑장,부산광역시,사상구,부산 사상구,1675,202004
78,몽산포청솔오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 99-20,1605,202004
79,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,1553,202004
80,승촌보오토캠핑장,광주광역시,남구,광주 남구,1412,202004
81,대부도캠핑시티,경기도,안산시 단원구,경기 안산시 단원구 대부황금로 110-0,1362,202004
82,황산문화체육공원국민여가캠핑장,경상남도,양산시,경남 양산시 낙동로 295-19,1320,202004
83,영천댐오토캠핑장,경상북도,영천시,경북 영천시 신방로 19-0,1291,202004
84,대청호로하스캠핑장,대전광역시,대덕구,대전 대덕구 대청로424번길 200-0,1269,202004
85,금은모래캠핑장,경기도,여주시,경기 여주시 강변유원지길 107-0,1207,202004
86,망상오토캠핑리조트,강원도,동해시,강원 동해시 동해대로 6370-0,1206,202004
87,진위천오토캠핑장,경기도,평택시,경기 평택시,1198,202004
88,김포한강오토캠핑장,경기도,김포시,경기 김포시 월하로912번길 64-0,1190,202004
89,노루벌캠핑장,대전광역시,서구,대전 서구,1082,202004
90,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,1057,202004
91,휴리조트,경기도,양주시,경기 양주시 만송로366번길 215-29,1025,202004
92,임송캠프장,경기도,남양주시,경기 남양주시 금강로746번길 61-0,995,202004
93,망상제2오토캠핑장,강원도,동해시,강원 동해시 동해대로 6220-0,989,202004
94,더드림핑,경기도,남양주시,경기 남양주시 북한강로 1630-18,977,202004
95,나린오토캠핑장,경기도,연천군,경기 연천군 어삼로 391-81,969,202004
96,둘레길캠핑장,충청남도,태안군,충남 태안군 꾸지나무길 37-76,961,202004
97,춘장대솔내음야영장,충청남도,서천군,충남 서천군 춘장대로151번길 31-0,959,202004
98,김포캠핑파크,경기도,김포시,경기 김포시 용강로 325-0,941,202004
99,보리울오토캠핑장,강원도,홍천군,강원 홍천군 밤벌길 131-53,908,202004
100,몽산포오토캠핑장2구역,충청남도,태안군,충남 태안군,887,202004
101,목계솔밭야영장,충청북도,충주시,충북 충주시,866,202004
102,솔뜰캠핑장,경기도,양평군,경기 양평군 사기점길 53-0,863,202004
103,김해생림오토캠핑장,경상남도,김해시,경남 김해시,845,202004
104,장호비치캠핑장,강원도,삼척시,강원 삼척시 장호1길 41-0,836,202004
105,몽산포오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 65-24,826,202004
106,영종씨사이드캠핑장,인천광역시,중구,인천 중구 큰말로 25-0,823,202004
107,두리생태공원오토캠핑장,인천광역시,계양구,인천 계양구,819,202004
108,어은돌송림캠핑장,충청남도,태안군,충남 태안군 모항파도로 398-42,812,202004
109,곰섬오토캠프장,충청남도,태안군,충남 태안군 곰섬로 535-0,809,202004
110,석갱이오토캠핑장,충청남도,태안군,충남 태안군,777,202004
111,섬강두꺼비오토캠핑장,강원도,원주시,강원 원주시 선유길 135-0,769,202004
112,구봉산오토캠핑장나인힐스,경기도,용인시 처인구,경기 용인시 처인구 보개원삼로1372번길 41-0,766,202004
113,용담섬바위오토캠핑장,전라북도,진안군,전북 진안군 안용로 832-23,765,202004
114,양평수목원캠핑장,경기도,양평군,경기 양평군,760,202004
115,오봉저수지캠핑장,경상북도,김천시,경북 김천시 오봉로 0-0,729,202004
116,평화강변수목캠핑장,경기도,연천군,경기 연천군 어삼로 415-11,728,202004
117,충주호캠핑월드,충청북도,충주시,충북 충주시 호반로 696-1,709,202004
118,솔밭가족캠프촌,강원도,양양군,강원 양양군 송평길 38-0,704,202004
119,서울대공원자연캠프장,경기도,과천시,경기 과천시,701,202004
120,물왕숲캠핑파크,경기도,시흥시,경기 시흥시 동서로 706-90,694,202004
121,동화힐링캠프,경기도,파주시,경기 파주시 파평산로363번길 32-9,693,202004
122,캠프운악,경기도,포천시,경기 포천시 금강로 3806-80,682,202004
123,추암오토캠핑장,강원도,동해시,강원 동해시 촛대바위길 6-0,671,202004
124,삼원레저타운캠핑장,충청남도,서산시,충남 서산시 진장서낭골길 204-0,671,202004
125,동막해수욕장캠핑장,인천광역시,강화군,인천 강화군 해안남로 1481-0,664,202004
126,소풍캠핑장,경기도,용인시 처인구,경기 용인시 처인구 경기동로785번길 30-0,664,202004
127,황매산오토캠핑장제1캠핑장,경상남도,합천군,경남 합천군 황매산공원길 331-0,662,202004
128,양평광탄유원지,경기도,양평군,경기 양평군,661,202004
129,광교호수공원가족캠핑장,경기도,수원시 영통구,경기 수원시 영통구 광교호수로 57-0,650,202004
130,화명오토캠핑장,부산광역시,북구,부산 북구 강변대로 1629-0,649,202004
131,새연카라반리조트가평현리1호점,경기도,가평군,경기 가평군 운악청계로333번길 86-0,643,202004
132,해솔길캠핑장,경기도,안산시 단원구,경기 안산시 단원구 연목이길 11-1,641,202004
133,문수골힐링캠핑장,경기도,김포시,경기 김포시 문수산로 104-107,639,202004
134,알멕스랜드,경기도,연천군,경기 연천군 왕산로218번길 61-0,635,202004
135,산들래캠핑장,경기도,화성시,경기 화성시 자청로207번길 21-73,629,202004
136,용인단풍숲캠핑장,경기도,용인시 처인구,경기 용인시 처인구 보개원삼로1462번길 14-22,624,202004
137,킨텍스캠핑장,경기도,고양시 일산서구,경기 고양시 일산서구 킨텍스로 217-25,623,202004
138,대회산캠핑장,경기도,포천시,경기 포천시 대회산길 79-89,618,202004
139,옥천팜랜드,충청북도,옥천군,충북 옥천군 안터2길 158-99,615,202004
140,범바위캠핑정원,경기도,김포시,경기 김포시 종생로 154-0,612,202004
141,카라반베이,경기도,용인시 처인구,경기 용인시 처인구 전대로 62-0,608,202004
142,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,4941,202005
143,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,4330,202005
144,황매산오토캠핑장제1캠핑장,경상남도,합천군,경남 합천군 황매산공원길 331-0,3586,202005
145,목계솔밭야영장,충청북도,충주시,충북 충주시,3555,202005
146,몽산포오션캠핑장,충청남도,태안군,충남 태안군 몽산포길 0-0,3295,202005
147,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,3121,202005
148,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,2565,202005
149,가산수피아,경상북도,칠곡군,경북 칠곡군 학하4길 57-105,2442,202005
150,재인폭포오토캠핑장,경기도,연천군,경기 연천군 현문로508번길 140-0,2191,202005
151,금은모래캠핑장,경기도,여주시,경기 여주시 강변유원지길 107-0,2081,202005
152,삼락생태공원오토캠핑장,부산광역시,사상구,부산 사상구,2046,202005
153,어은돌오토캠핑장,충청남도,태안군,충남 태안군 모항파도로 398-70,2001,202005
154,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,1977,202005
155,대저캠핑장,부산광역시,강서구,부산 강서구,1951,202005
156,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,1863,202005
157,대부도캠핑시티,경기도,안산시 단원구,경기 안산시 단원구 대부황금로 110-0,1788,202005
158,서울대공원자연캠프장,경기도,과천시,경기 과천시,1788,202005
159,몽산포청솔오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 99-20,1687,202005
160,백로주유원지캠프장,경기도,포천시,경기 포천시 호국로 2671-22,1582,202005
161,승촌보오토캠핑장,광주광역시,남구,광주 남구,1449,202005
162,더드림핑,경기도,남양주시,경기 남양주시 북한강로 1630-18,1449,202005
163,망상오토캠핑리조트,강원도,동해시,강원 동해시 동해대로 6370-0,1443,202005
164,휴리조트,경기도,양주시,경기 양주시 만송로366번길 215-29,1404,202005
165,영종씨사이드캠핑장,인천광역시,중구,인천 중구 큰말로 25-0,1403,202005
166,김포한강오토캠핑장,경기도,김포시,경기 김포시 월하로912번길 64-0,1377,202005
167,진위천오토캠핑장,경기도,평택시,경기 평택시,1358,202005
168,김포캠핑파크,경기도,김포시,경기 김포시 용강로 325-0,1355,202005
169,망상제2오토캠핑장,강원도,동해시,강원 동해시 동해대로 6220-0,1242,202005
170,자라섬오토캠핑장,경기도,가평군,경기 가평군 자라섬로 60-0,1209,202005
171,임송캠프장,경기도,남양주시,경기 남양주시 금강로746번길 61-0,1191,202005
172,대청호로하스캠핑장,대전광역시,대덕구,대전 대덕구 대청로424번길 200-0,1184,202005
173,노루벌캠핑장,대전광역시,서구,대전 서구,1169,202005
174,대부도나라펜션캠핑장,경기도,안산시 단원구,경기 안산시 단원구 장불길 31-23,1156,202005
175,이포보오토캠핑장양촌지구,경기도,여주시,경기 여주시 여양로 1935-177,1156,202005
176,강나루오토캠핑장,경상남도,함안군,경남 함안군,1144,202005
177,둘레길캠핑장,충청남도,태안군,충남 태안군 꾸지나무길 37-76,1142,202005
178,인천대공원너나들이캠핑장,인천광역시,남동구,인천 남동구,1119,202005
179,보리울오토캠핑장,강원도,홍천군,강원 홍천군 밤벌길 131-53,1111,202005
180,섬강두꺼비오토캠핑장,강원도,원주시,강원 원주시 선유길 135-0,1091,202005
181,나린오토캠핑장,경기도,연천군,경기 연천군 어삼로 391-81,1088,202005
182,황산문화체육공원국민여가캠핑장,경상남도,양산시,경남 양산시 낙동로 295-19,1084,202005
183,솔밭가족캠프촌,강원도,양양군,강원 양양군 송평길 38-0,1064,202005
184,춘장대솔내음야영장,충청남도,서천군,충남 서천군 춘장대로151번길 31-0,1062,202005
185,몽산포오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 65-24,1058,202005
186,장호비치캠핑장,강원도,삼척시,강원 삼척시 장호1길 41-0,1036,202005
187,고사포야영장,전라북도,부안군,전북 부안군 변산해변로 765-0,966,202005
188,도덕산캠핑장,경기도,광명시,경기 광명시 밤일안로42번길 69-0,963,202005
189,알멕스랜드,경기도,연천군,경기 연천군 왕산로218번길 61-0,960,202005
190,어은돌송림캠핑장,충청남도,태안군,충남 태안군 모항파도로 398-42,955,202005
191,곰섬오토캠프장,충청남도,태안군,충남 태안군 곰섬로 535-0,942,202005
192,밀양아리랑오토캠핑장,경상남도,밀양시,경남 밀양시,938,202005
193,십리포해수욕장캠핑장,인천광역시,옹진군,인천 옹진군,933,202005
194,칠곡보오토캠핑장,경상북도,칠곡군,경북 칠곡군 강변서로 110-43,932,202005
195,솔뜰캠핑장,경기도,양평군,경기 양평군 사기점길 53-0,905,202005
196,산들래캠핑장,경기도,화성시,경기 화성시 자청로207번길 21-73,900,202005
197,인천송도국제캠핑장,인천광역시,연수구,인천 연수구 지식기반로 152-0,884,202005
198,양평수목원캠핑장,경기도,양평군,경기 양평군,881,202005
199,김해생림오토캠핑장,경상남도,김해시,경남 김해시,878,202005
200,물왕숲캠핑파크,경기도,시흥시,경기 시흥시 동서로 706-90,872,202005
201,용담섬바위오토캠핑장,전라북도,진안군,전북 진안군 안용로 832-23,869,202005
202,구봉산오토캠핑장나인힐스,경기도,용인시 처인구,경기 용인시 처인구 보개원삼로1372번길 41-0,862,202005
203,동화힐링캠프,경기도,파주시,경기 파주시 파평산로363번길 32-9,862,202005
204,아산곡교천야영장,충청남도,아산시,충남 아산시 곡교천로 407-0,859,202005
205,수도권매립지캠핑장,인천광역시,서구,인천 서구 정서진로 500-0,854,202005
206,몽산포오토캠핑장2구역,충청남도,태안군,충남 태안군,850,202005
207,난지캠핑장,서울특별시,마포구,서울 마포구 한강난지로 22-0,4308,202006
208,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,3264,202006
209,목계솔밭야영장,충청북도,충주시,충북 충주시,3108,202006
210,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,2785,202006
211,몽산포오션캠핑장,충청남도,태안군,충남 태안군 몽산포길 0-0,2757,202006
212,서울대공원자연캠프장,경기도,과천시,경기 과천시,2120,202006
213,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,1961,202006
214,중랑숲캠핑장,서울특별시,중랑구,서울 중랑구 망우로87길 110-0,1681,202006
215,재인폭포오토캠핑장,경기도,연천군,경기 연천군 현문로508번길 140-0,1602,202006
216,몽산포청솔오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 99-20,1521,202006
217,더드림핑,경기도,남양주시,경기 남양주시 북한강로 1630-18,1505,202006
218,삼락생태공원오토캠핑장,부산광역시,사상구,부산 사상구,1471,202006
219,합강공원오토캠핑장,세종특별자치시,세종특별자치시,세종시 태산로 329-0,1469,202006
220,대부도캠핑시티,경기도,안산시 단원구,경기 안산시 단원구 대부황금로 110-0,1450,202006
221,어은돌오토캠핑장,충청남도,태안군,충남 태안군 모항파도로 398-70,1448,202006
222,임송캠프장,경기도,남양주시,경기 남양주시 금강로746번길 61-0,1385,202006
223,가산수피아,경상북도,칠곡군,경북 칠곡군 학하4길 57-105,1351,202006
224,대저캠핑장,부산광역시,강서구,부산 강서구,1253,202006
225,김포캠핑파크,경기도,김포시,경기 김포시 용강로 325-0,1251,202006
226,망상오토캠핑리조트,강원도,동해시,강원 동해시 동해대로 6370-0,1251,202006
227,송지호오토캠핑장,강원도,고성군,강원 고성군 동해대로 6090-0,1233,202006
228,보리울오토캠핑장,강원도,홍천군,강원 홍천군 밤벌길 131-53,1206,202006
229,김포한강오토캠핑장,경기도,김포시,경기 김포시 월하로912번길 64-0,1183,202006
230,함허동천야영장,인천광역시,강화군,인천 강화군 해안남로1196번길 38-0,1103,202006
231,망상제2오토캠핑장,강원도,동해시,강원 동해시 동해대로 6220-0,1093,202006
232,솔밭가족캠프촌,강원도,양양군,강원 양양군 송평길 38-0,1049,202006
233,섬강두꺼비오토캠핑장,강원도,원주시,강원 원주시 선유길 135-0,1029,202006
234,승촌보오토캠핑장,광주광역시,남구,광주 남구,1026,202006
235,백로주유원지캠프장,경기도,포천시,경기 포천시 호국로 2671-22,993,202006
236,휴리조트,경기도,양주시,경기 양주시 만송로366번길 215-29,990,202006
237,솔밭캠프장,강원도,영월군,강원 영월군 무릉법흥로 740-0,987,202006
238,몽산포오토캠핑장,충청남도,태안군,충남 태안군 몽산포길 65-24,987,202006
239,동강전망자연휴양림캠핑장,강원도,정선군,강원 정선군 동강로 916-212,978,202006
240,칠곡보오토캠핑장,경상북도,칠곡군,경북 칠곡군 강변서로 110-43,930,202006
241,양양오토캠핑장,강원도,양양군,강원 양양군 동명로 321-20,925,202006
242,설악동야영장,강원도,속초시,강원 속초시 청봉로 25-0,919,202006
243,고래불국민야영장,경상북도,영덕군,경북 영덕군 고래불로 12-0,899,202006
244,봉수대오토캠핑장,강원도,고성군,강원 고성군,896,202006
245,새연카라반리조트가평현리1호점,경기도,가평군,경기 가평군 운악청계로333번길 86-0,878,202006
246,둘레길캠핑장,충청남도,태안군,충남 태안군 꾸지나무길 37-76,875,202006
247,임진각평화누리캠핑장,경기도,파주시,경기 파주시 임진각로 148-40,3305,202007
248,연곡해변솔향기캠핑장,강원도,강릉시,강원 강릉시 해안로 1282-0,3234,202007
249,목계솔밭야영장,충청북도,충주시,충북 충주시,3026,202007
250,서울대공원자연캠프장,경기도,과천시,경기 과천시,2360,202007
251,한탄강오토캠핑장,경기도,연천군,경기 연천군 선사로 76-0,1951,202007
252,백도해수욕장오토캠핑장,강원도,고성군,강원 고성군 문암항길 133-0,1814,202007
253,송지호오토캠핑장,강원도,고성군,강원 고성군 동해대로 6090-0,1772,202007
254,몽산포오션캠핑장,충청남도,태안군,충남 태안군 몽산포길 0-0,1709,202007
