,조회수,제목,주소,전기,온수,마트.편의점,트렘폴린,운동장,놀이터,산책로,장작판매,물놀이장,와이파이,운동시설
667,13927,의령나루캠프,경남 의령군 화정면 화정로14길 16-5 ,1,1,0,0,0,0,0,0,1,1,0
887,12617,내린천솔밭힐링캠핑장,강원도 인제군 상남면 하남리 445 ,1,1,0,0,0,0,0,0,1,1,0
1119,11249,소나무 풍경 펜션 야영장,경남 창녕군 계성면 계성화왕산로 161 ,1,1,0,0,0,0,0,0,1,1,0
1135,11166,에코야영장,인천광역시 강화군 길상면 선두리 892-3 ,1,1,0,0,0,0,0,0,1,1,0
1385,3627,숲에안기다,경북 고령군 덕곡면 야로덕곡로 483-68 ,1,1,0,0,0,0,0,0,1,1,0
311,17083,파래소캠핑장,경남 양산시 원동면 청수골길 43-21 ,1,0,0,0,0,0,0,0,1,1,0
1142,11118,열두달캠핑장,경기 가평군 북면 멱골로 202-101 ,1,0,0,0,0,0,0,0,1,1,0
1164,11030,소양호 뱃길나루터,강원 양구군 양구읍 소양호로 2522 ,1,0,0,0,0,0,0,0,1,1,0
1349,4041,프로미스,경기 포천시 이동면 여우고개로242번길 21-27 ,1,0,0,0,0,0,0,0,1,1,0
1386,3615,봉즈살롱,강원 횡성군 서원면 서원서로102번길 3-18 ,1,0,0,0,0,0,0,0,1,1,0
1092,11498,제주플래티늄카라반,제주특별자치도 제주시 애월읍 하귀미수포길 5-8 ,0,0,0,0,0,0,0,0,1,1,0
671,13874,은행마을,충청남도 보령시 청라면 오서산길 150-65  ,1,1,0,0,1,1,1,1,0,1,0
992,12139,진경원민박캠핑장,충남 당진시 순성면 대촌2길 111-30 ,1,1,0,0,1,1,1,1,0,1,0
148,20774,무릉도원 오토캠핑장,경남 양산시 원동면 어영길 170 ,1,1,1,1,0,1,1,1,0,1,0
840,12821,숲속의 정원 캠핑장,경기 가평군 북면 가화로 988-50 ,1,1,1,0,0,1,1,1,0,1,0
1150,11088,매화둠벙마을영농조합법인,충남 태안군 원북면 동해길 301-41 ,1,1,1,0,0,1,1,1,0,1,0
418,15814,숲속에안뜰 캠핑장,경기 용인시 처인구 원삼면 원양로 250-23 ,1,1,0,0,0,1,1,1,0,1,0
1269,5289,남해금산오토캠핑장,경남 남해군 상주면 남해대로796번길 54 ,1,0,0,0,0,1,1,1,0,1,0
1438,2717,펫앤트리,충남 서산시 팔봉면 호리중말길 13 ,1,1,1,0,1,0,1,1,0,1,0
244,17966,영종씨사이드캠핑장,인천시 중구 운남동 1640-1 ,1,1,1,0,0,0,1,1,0,1,0
334,16737,백담고을캠핑장,강원 인제군 북면 백담로 128 ,1,1,1,0,0,0,1,1,0,1,0
447,15620,첫물내기캠핑장,강원 영월군 무릉도원면 무릉법흥로 524-2 ,1,1,1,0,0,0,1,1,0,1,0
555,14679,칡소폭포 캠핑장,강원도 홍천군 내면 을수길 27  ,1,1,1,0,0,0,1,1,0,1,0
1203,10415,동강빌리지 야영장,강원 영월군 영월읍 동강로 223 ,1,1,1,0,0,0,1,1,0,1,0
1360,3939,초리풍경,경기 파주시 법원읍 초리골길 180 ,1,1,1,0,0,0,1,1,0,1,0
1455,1826,우니메이카 강화점,인천 강화군 하점면 창후로228번길 26-16 ,1,1,1,0,0,0,1,1,0,1,0
521,14917,씨카라반,강원 강릉시 사천면 해안로 904-14 ,1,0,1,0,0,0,1,1,0,1,0
107,23708,달이머무는집,충청북도 영동군 황간면 월류봉길 57  ,1,1,0,0,0,0,1,1,0,1,0
496,15082,청산별곡,전라북도 순창군 수장2길 38-4  ,1,1,0,0,0,0,1,1,0,1,0
856,12729,캠플레이 캠핑장,경기 가평군 상면 비룡로 1610-15 ,1,1,0,0,0,0,1,1,0,1,0
1253,6715,수산하늘풍경,강원 인제군 남면 무학길 34 ,1,1,0,0,0,0,1,1,0,1,0
1305,4472,편안캠핑장,경북 경주시 산내면 단석로 655-10 ,1,1,0,1,0,1,0,1,0,1,0
885,12619,더 포레스트,경기 양평군 지평면 일신리길 134-23 ,1,1,1,0,0,1,0,1,0,1,0
1085,11609,은하수 캠핑장,경기 양주시 남면 감악산로514번길 468-8 ,1,1,1,0,0,1,0,1,0,1,0
1214,9152,모모카라반,인천 옹진군 영흥면 영흥로757번길 176 ,1,1,1,0,0,1,0,1,0,1,0
867,12665,용오름캠핑장,강원 홍천군 서석면 검산길 263 ,1,0,1,0,0,1,0,1,0,1,0
18,48441,생림 오토 캠핑장,경상남도 김해시 생림면 마사리 1322-6  ,1,1,0,0,0,1,0,1,0,1,0
168,20325,서천 금빛노을 서울캠핑장,충청남도 서천군 장선리 128-3 ,1,1,0,0,0,1,0,1,0,1,0
175,20148,농월정오토캠핑장,경상남도 함양군 안의면 월림리 727-1 ,1,1,0,0,0,1,0,1,0,1,0
183,20037,서천 춘장대캠핑장,충남 서천군 서면 춘장대길8번길 17-7 ,1,1,0,0,0,1,0,1,0,1,0
298,17213,플레이랜드 캠핑장,경기도 파주시 광탄면 보광로 538번길 21 ,1,1,0,0,0,1,0,1,0,1,0
383,16153,노꼬담꼬,경북 경주시 산내면 감존길 390-65 ,1,1,0,0,0,1,0,1,0,1,0
726,13396,설하관광농원,강원 인제군 북면 설악로 3208 ,1,1,0,0,0,1,0,1,0,1,0
994,12135,명성가족캠핑촌,인천 옹진군 영흥면 영흥로722번길 39 ,1,1,0,0,0,1,0,1,0,1,0
1123,11233,하늘그린캠프,강원 인제군 상남면 아홉사리로 2505-31 ,1,1,0,0,0,1,0,1,0,1,0
1340,4090,금강뷰,충남 금산군 제원면 낙안길 107-13 ,1,1,0,0,0,1,0,1,0,1,0
481,15212,조개섬 야영장,경남 하동군 고전면 월진길 115-77 ,1,0,0,0,0,1,0,1,0,1,0
1036,11886,약수골 캠프촌 숲속캠핑장,강원도 양구군 동면 후곡리 299  ,1,0,0,0,0,1,0,1,0,1,0
327,16799,윤제림오토캠핑장,전남 보성군 겸백면 주월산길 222 ,1,1,1,1,1,0,0,1,0,1,0
1170,10898,터닝포인트카라반&캠핑,강원도 철원군 서면 자등리 316-6  ,1,1,1,0,1,0,0,1,0,1,0
861,12708,구절초마을캠핑장,강원 정선군 여량면 노추산로 794 ,1,1,0,0,1,0,0,1,0,1,0
1459,323,소휴,전남 화순군 화순읍 백천로 632 ,1,1,0,0,1,0,0,1,0,1,0
271,17534,소석힐링캠핑장,경상남도 양산시 상북면 소석리 163번지 ,1,1,0,1,0,0,0,1,0,1,0
409,15881,각흘계곡 캠핑장,경기도 포천시 이동면 금강로 6439 ,1,1,0,1,0,0,0,1,0,1,0
772,13169,도리돌 캠핑장,경기 포천시 이동면 화동로 2464-1 ,1,1,0,1,0,0,0,1,0,1,0
1267,5326,물의나라 캠핑장,경기 가평군 조종면 명지산로 475 ,1,1,0,1,0,0,0,1,0,1,0
679,13774,힐링스토리,강원 횡성군 서원면 금대1길 24-68 ,1,1,1,0,0,0,0,1,0,1,0
731,13384,산골캠핑장,강원 영월군 무릉도원면 백년계곡길 158 ,1,1,1,0,0,0,0,1,0,1,0
917,12516,카라반 캠프,경기도 화성시 서신면 제부리 20-26 ,1,1,1,0,0,0,0,1,0,1,0
930,12461,용설호수캠핑장,경기 안성시 죽산면 용설호수길 234 ,1,1,1,0,0,0,0,1,0,1,0
1029,11901,마중펜션캠핑장,강원도 횡성군 청일면 유동북길 190 ,1,1,1,0,0,0,0,1,0,1,0
1249,6850,진동리 국민여가캠핑장 by zapza,강원도 인제군 기린면 진동리 618번지 ,1,1,1,0,0,0,0,1,0,1,0
1280,4890,우리들캠핑장,강원 양양군 현북면 법수치길 1168-2 ,1,1,1,0,0,0,0,1,0,1,0
1369,3741,우니메이카 철원점,강원 철원군 근남면 하오재로 1656-4 ,1,1,1,0,0,0,0,1,0,1,0
81,25237,영월 동강오토캠핑장,강원도 영월군 영월읍 둥글바위길 33  ,1,1,0,0,0,0,0,1,0,1,0
151,20671,Najost Camp,강원 영월군 김삿갓면 김삿갓로 638 ,1,1,0,0,0,0,0,1,0,1,0
215,18571,신선계곡 야영장,경기도 광주시 퇴촌면 천진암로 768 ,1,1,0,0,0,0,0,1,0,1,0
381,16202,아트앤오토캠핑장,울산광역시 울주군 상북면 이천리 700  ,1,1,0,0,0,0,0,1,0,1,0
426,15753,노을캠핑장,인천 강화군 양도면 해안서로 695 ,1,1,0,0,0,0,0,1,0,1,0
564,14590,다온숲,세종특별자치시 전동면 깊은내길 195 ,1,1,0,0,0,0,0,1,0,1,0
627,14102,도고온천모두캠핑장,충남 아산시 도고면 도고온천로 207-20 ,1,1,0,0,0,0,0,1,0,1,0
712,13531,무주수목원캠핑장,전북 무주군 설천면 구천동로 1092-34 ,1,1,0,0,0,0,0,1,0,1,0
742,13328,들음카라반 캠핑장,전라남도 장성군 북하면 가인길 59-9 ,1,1,0,0,0,0,0,1,0,1,0
843,12817,인제 연가리 오토캠핑장,강원도 인제군 기린면 조침령로 1418-7  ,1,1,0,0,0,0,0,1,0,1,0
879,12641,소회산리멍우리협곡관광농원(캠핑장),경기 포천시 영북면 소회산길 399 ,1,1,0,0,0,0,0,1,0,1,0
891,12607,오름집,제주특별자치도 서귀포시 보목동 보목포로65번길 6  ,1,1,0,0,0,0,0,1,0,1,0
901,12555,강릉 금진리321카라반,강원 강릉시 옥계면 헌화로 247-11 ,1,1,0,0,0,0,0,1,0,1,0
960,12242,느티나무 캠핑장,강원도 영월군 김삿갓면 내리계곡로 1061  ,1,1,0,0,0,0,0,1,0,1,0
969,12224,동강아름캠프,강원 영월군 김삿갓면 영월동로 2435 ,1,1,0,0,0,0,0,1,0,1,0
1131,11209,어울림펜션 캠핑장,강원 영월군 한반도면 문둔길 106 ,1,1,0,0,0,0,0,1,0,1,0
1257,6627,트리하우스계곡야영장,강원 홍천군 내촌면 아홉사리로 1740 ,1,1,0,0,0,0,0,1,0,1,0
1260,6385,평창자연속쉼표캡핑장,강원 평창군 봉평면 흥정계곡4길 171-10 ,1,1,0,0,0,0,0,1,0,1,0
1304,4477,화천드림캠핑장,강원 화천군 화천읍 한묵령로 504 ,1,1,0,0,0,0,0,1,0,1,0
1337,4115,담터오지글램핑,강원 철원군 동송읍 담터길 350 ,1,1,0,0,0,0,0,1,0,1,0
1347,4045,민트글램핑,경기 포천시 이동면 금강로 5846 ,1,1,0,0,0,0,0,1,0,1,0
1401,3386,야한 캠핑장,경기 이천시 마장면 이섭대천로155번길 100 ,1,1,0,0,0,0,0,1,0,1,0
1442,2649,을왕리 솔트 캠핑장,인천 중구 용유서로423번길 38 (을왕동) ,1,1,0,0,0,0,0,1,0,1,0
1453,2035,가평조이글램핑,경기 가평군 북면 멱골로272번길 9 ,1,1,0,0,0,0,0,1,0,1,0
1348,4043,운악산진우네캠핑장,경기 포천시 화현면 화동로 218-18 ,1,0,0,0,0,0,0,1,0,1,0
1412,3262,라라플레이스,강원도 양양군 현북면 하광정리 608-6  ,1,0,0,0,0,0,0,1,0,1,0
1417,3218,가리벨리캠핑장,강원 인제군 인제읍 대목리길 137 ,1,0,0,0,0,0,0,1,0,1,0
159,20521,줄포만갯벌생태공원 캠핑장,전북 부안군 줄포면 생태공원로 38 ,1,1,0,0,1,1,1,0,0,1,0
987,12150,국립용화산자연휴양림,강원도 춘천시 사북면 사여골길 294 ,1,1,0,0,1,1,1,0,0,1,0
1234,8061,연인산 다목적 캠핑장,경기 가평군 북면 백둔로 441 ,1,1,0,0,1,1,1,0,0,1,0
4,92517,변산반도국립공원 고사포 야영장,전라북도 부안군 변산면 운산리 441-11  ,1,1,1,0,0,1,1,0,0,1,0
390,16080,태화연캠핑장,울산광역시 중구 태화동 281번지 일원 ,1,1,0,0,0,1,1,0,0,1,0
403,15935,황방산 생태야영장,울산광역시 중구 장현동 469번지 일원 ,1,1,0,0,0,1,1,0,0,1,0
67,26919,강동 그린웨이 가족캠핑장,서울 강동구 천호대로206길 87 (둔촌동) ,1,0,1,0,1,0,1,0,0,1,0
117,22765,밀양아리랑 오토캠핑장,경상남도 밀양시 하남읍 명례리 1046-2 ,1,1,0,0,1,0,1,0,0,1,0
470,15450,제이스글램핑,부산 기장군 일광읍 이천8길 132-20 ,1,1,0,1,0,0,1,0,0,1,0
28,38337,하이원추추파크 자동차야영장,강원도 삼척시 도계읍 심포리 227-5  ,1,1,1,0,0,0,1,0,0,1,0
687,13751,교래생태체험장,제주특별자치도 제주시 조천읍 교래4길 20-13 ,1,1,1,0,0,0,1,0,0,1,0
199,19178,망상오토캠핑리조트 제2오토캠핑장,강원 동해시 동해대로 6220 (망상동) ,1,1,0,0,0,0,1,0,0,1,0
248,17926,영암군 국민여가 캠핑장,전라남도 영암군 영암읍 회문리 산 1번지  ,1,1,0,0,0,0,1,0,0,1,0
281,17406,강화카라반캠핑장,인천광역시 강화군 길상면 초지리 1320-1 ,1,1,0,0,0,0,1,0,0,1,0
608,14322,성동힐링센터 휴(休)영월캠프,강원도 영월군 동강로 1488-23 봉래초교문산분교  ,1,1,0,0,0,0,1,0,0,1,0
1158,11045,고라데이마을,강원 횡성군 청일면 봉명로 375-1 ,1,1,0,0,0,0,1,0,0,1,0
1458,836,태백산국립공원사무소 소도야영장,강원 태백시 천제단길 181 (소도동) ,1,1,0,0,0,0,1,0,0,1,0
1133,11197,보광농촌체험휴양마을,강원 강릉시 성산면 보현길 5 ,1,0,0,0,0,0,1,0,0,1,0
1236,7922,팔봉참살이오토캠핑장,강원 홍천군 서면 오도치길 32 ,1,0,0,0,0,0,1,0,0,1,0
20,41214,김제 모악산 캠핑파크,전북 김제시 금산면 모악로 476-31 ,0,0,0,0,0,0,1,0,0,1,0
491,15108,대천오토캠핑장,충청남도 보령시 주교면 문화마을길 178-58  ,1,1,0,0,1,1,0,0,0,1,0
223,18323,오류캠핑장,경북 경주시 감포읍 감포로 382-7 ,1,1,1,0,0,1,0,0,0,1,0
577,14521,청도신화랑 풍류마을 오토캠핑장,경상북도 청도군 운문면방지리 150-7 ,1,1,1,0,0,1,0,0,0,1,0
26,38812,금호강 오토캠핑장,대구광역시 북구 검단동 458-4번지  ,1,1,0,0,0,1,0,0,0,1,0
126,22460,송지호 오토 캠핑장,강원도 고성군 죽왕면 동해대로 6090  ,1,1,0,0,0,1,0,0,0,1,0
573,14535,팔영산야영장,전라남도 고흥군 점암면 팔봉길 19-51  ,1,1,0,0,0,1,0,0,0,1,0
848,12770,트로피칼드림야영장,경상남도 거제시 일운면 와현리 497  ,1,1,0,0,0,1,0,0,0,1,0
875,12648,느랭이골 자연휴양림 일반야영장,전라남도 광양시 다압면 신원리 산125 ,1,1,0,0,0,1,0,0,0,1,0
950,12308,캠파제주,제주특별자치도 서귀포시 516로 574-23 (상효동) ,1,1,0,0,0,1,0,0,0,1,0
1408,3339,반려동물힐링센터 글램핑,경북 문경시 문경읍 문경대로 2430 ,1,1,0,0,0,1,0,0,0,1,0
364,16361,가평사계절캠핑장,경기도 가평군 가화로 988 ,1,1,1,1,0,0,0,0,0,1,0
66,27622,킨텍스캠핑장,경기 고양시 일산서구 킨텍스로 217-25 (대화동) ,1,1,1,0,0,0,0,0,0,1,0
119,22667,간현관광지 캠핑장,강원 원주시 지정면 소금산길 26 ,1,1,1,0,0,0,0,0,0,1,0
1378,3692,경상북도교육청김천오토캠핑장	,경북 김천시 증산면 증산1로 163 ,1,1,1,0,0,0,0,0,0,1,0
42,34408,양양 죽도오토캠핑장,강원도 양양군 현남면 인구중앙길 88  ,1,1,0,0,0,0,0,0,0,1,0
78,25427,씨사이드힐 캠핑장,인천광역시 강화군 화도면 해안남로 2680-12  ,1,1,0,0,0,0,0,0,0,1,0
80,25291,서창캠핑장,인천 남동구 운연로 31 (서창동) ,1,1,0,0,0,0,0,0,0,1,0
163,20466,문암생태공원,충북 청주시 흥덕구 무심서로 1097 (문암동) ,1,1,0,0,0,0,0,0,0,1,0
280,17423,유수암 캠핑장,제주특별자치도 제주시 애월읍 하소로 684-25 ,1,1,0,0,0,0,0,0,0,1,0
316,17024,내평계곡캠핑장,강원도 삼척시 내평길 190-0  ,1,1,0,0,0,0,0,0,0,1,0
779,13147,섬진강캠핑장,전북 정읍시 산외면 산외로 445-30 ,1,1,0,0,0,0,0,0,0,1,0
953,12301,해담구룡령 야영장,강원도 양양군 서면 구룡령로 2066  ,1,1,0,0,0,0,0,0,0,1,0
1297,4536,원산도비치캠핑장,충남 보령시 오천면 원산도4길 59 ,1,1,0,0,0,0,0,0,0,1,0
1306,4437,호수위의하루,충북 충주시 중앙탑면 반천안길 63 ,1,1,0,0,0,0,0,0,0,1,0
1375,3708,개랭이 오토 캠핑장,전남 순천시 별량면 흑가길 6-1 ,1,1,0,0,0,0,0,0,0,1,0
54,30377,계룡산동학사자동차야영장,충청남도 공주시 반포면 동학사2로 115-16  ,1,0,0,0,0,0,0,0,0,1,0
95,24343,내원자동차야영장,경상남도 산청군 삼장면 대포리 산 106-2  ,1,0,0,0,0,0,0,0,0,1,0
212,18756,주문진해수욕장 향호야영장,강원도 강릉시 주문진읍 향호리 8-55 ,1,0,0,0,0,0,0,0,0,1,0
422,15777,너와나 야영장,강원 영월군 무릉도원면 백년계곡길 193 ,1,0,0,0,0,0,0,0,0,1,0
890,12608,블루문캠핑장,경기 가평군 상면 수목원로386번길 43 ,1,0,0,0,0,0,0,0,0,1,0
1027,11909,불스 글램핑,울산 울주군 두서면 아미산못길 26-50 ,1,0,0,0,0,0,0,0,0,1,0
1053,11778,카우 글램핑,경남 사천시 서포면 토끼로 262 ,1,0,0,0,0,0,0,0,0,1,0
1079,11616,연천 한여울팜파크 글램핑장,경기도 연천군 연천읍 현문로 537 ,1,0,0,0,0,0,0,0,0,1,0
1287,4697,휴가든 카라반,강원 영월군 영월읍 복덕원길 45 ,1,0,0,0,0,0,0,0,0,1,0
1366,3908,양양 솔바다 캠핑장,강원도 양양군 손양면 송전리 220-1  ,1,0,0,0,0,0,0,0,0,1,0
1407,3344,뇌운계곡글램핑,강원 평창군 평창읍 뇌운계곡로 659-6 ,1,0,0,0,0,0,0,0,0,1,0
1013,12024,마운틴 캠핑장,울산광역시 북구 대안동 688  ,0,0,0,0,0,0,0,0,0,1,0
764,13224,김포캠핑파크 주식회사,경기 김포시 월곶면 용강로 325 ,1,1,1,1,1,1,1,1,1,0,0
1310,4417,남해 힐링국민여가캠핑장,경남 남해군 이동면 성남로 105 ,1,0,0,1,1,1,1,1,1,0,0
355,16466,신북온천글램핑장,경기 포천시 신북면 청신로 571 ,1,1,1,0,1,1,1,1,1,0,0
893,12604,벗과뱃나루 캠핑리조트,충남 태안군 남면 마검포길 201-64 ,1,1,1,0,1,1,1,1,1,0,0
918,12513,와이글램핑,경기 양평군 용문면 강이대길38번길 26-37 ,1,1,1,0,1,1,1,1,1,0,0
498,15073,대둔산자연휴양림캠핑장,충청남도 금산군 진산면 대둔산로 6  ,1,1,0,0,0,1,1,1,1,0,0
1116,11298,왕피천관광농원,경북 울진군 근남면 왕피천로 534-1 ,1,1,0,0,1,0,1,1,1,0,0
850,12768,어거스트캠핑장,경기 포천시 가산면 우금3길 142-29 ,1,1,1,1,0,0,1,1,1,0,0
290,17337,왕피천 숲속 캠핑장,경상북도 울진군 근남면 구산리 산 127 ,1,1,1,0,0,0,1,1,1,0,0
433,15682,봉강 하조 오토캠핑장,전라남도 광양시 봉강면 성불로 1097  ,1,1,1,0,0,0,1,1,1,0,0
814,12954,범바위캠핑정원,경기 김포시 대곶면 종생로 154 ,1,1,1,0,0,0,1,1,1,0,0
1370,3741,배방관광농원,충남 아산시 배방읍 솔치로 17-31 ,1,1,1,0,0,0,1,1,1,0,0
611,14295,프로방스펜션,전라남도 영광군 백수읍 해안로 677 ,1,0,1,0,0,0,1,1,1,0,0
536,14803,청석들캠핑장,경상북도 경주시 산내면 대현길 176-9  ,1,1,0,0,0,0,1,1,1,0,0
776,13165,풍성채 캠핑장,세종특별자치시  전동면 송성길 116  ,1,1,0,0,0,0,1,1,1,0,0
964,12236,장남동산농원,경기 연천군 장남면 술이홀로63번길 41-17 ,1,1,1,1,1,1,0,1,1,0,0
584,14487,들꽃피는언덕 캠핑장,경기도 양주시 백석읍 권율로 870  ,1,1,0,1,1,1,0,1,1,0,0
648,14001,덕유산700휠링캠프,전북 무주군 무풍면 구천동로 289-55 ,1,1,0,0,1,1,0,1,1,0,0
593,14437,산야초 자연캠핑장,경기도 동두천시 광암동 쇠목길 320  ,1,1,0,1,0,1,0,1,1,0,0
760,13233,은사시캠핑장,경기도 파주시 적성면 자장로 115  ,1,1,0,1,0,1,0,1,1,0,0
916,12522,해솔캠핑장,강원도 홍천군 내촌면 논골길 91 ,1,1,0,1,0,1,0,1,1,0,0
1102,11367,첫마을 관광타운,전라남도 완도군 군외면 대문리 691-2  ,1,1,1,0,0,1,0,1,1,0,0
252,17893,섬지캠핑장,전라남도 구례군 토지면 외곡리 963-4 ,1,1,0,0,0,1,0,1,1,0,0
260,17759,자두마을,전북 정읍시 종황길 92 (내장동) ,1,1,0,0,0,1,0,1,1,0,0
907,12537,산아래 캠핑장,경상북도 영주시 부석면 영부로890번길 132  ,1,1,0,0,0,1,0,1,1,0,0
946,12388,봉바위농원,경기도 김포시 하성면 평화공원로70번길 290-97  ,1,1,0,0,0,1,0,1,1,0,0
162,20477,장안캠프,부산 기장군 장안읍 장안로 18 ,1,1,0,1,1,0,0,1,1,0,0
250,17911,서당골캠핑장,경상남도 밀양시 무안면 삼화길 680-23  ,1,1,0,1,0,0,0,1,1,0,0
1180,10793,별빛마을,"경북 청도군 운문면 오진리 1007 외2 (1007-1 , 998-12) ",1,1,0,1,0,0,0,1,1,0,0
683,13764,캠핑in곡성,전남 곡성군 고달면 고산로 406 ,1,1,1,0,0,0,0,1,1,0,0
860,12709,캡틴 카라반 글램핑,경기 가평군 상면 청군로 776-22 ,1,1,1,0,0,0,0,1,1,0,0
878,12644,충효테마관광농원야영장,경상남도 고성군 대가면 유흥갈천길 240 ,1,1,1,0,0,0,0,1,1,0,0
1002,12102,진틀펜션캠핑장,전남 광양시 옥룡면 신재로 1678-54 ,1,1,1,0,0,0,0,1,1,0,0
389,16099,가은해솔캠핑장,경상북도 문경시 가은읍 원북리 177-6 ,1,1,0,0,0,0,0,1,1,0,0
649,14000,정화네 불한증막 힐링캠프,전북 정읍시 고부면 덕신강길 148-4 ,1,1,0,0,0,0,0,1,1,0,0
915,12522,청도 어울림 글램핑 타운,경북 청도군 매전면 관하실길 28-42 ,1,1,0,0,0,0,0,1,1,0,0
1313,4406,산으로 간 낚시꾼 캠핑장,경남 사천시 해안관광로 68-20 (실안동) ,0,1,0,0,0,0,0,1,1,0,0
874,12648,선녀와나무꾼,경기 양주시 평화로1501번길 90 (덕계동) ,1,1,0,1,1,1,1,0,1,0,0
188,19671,천하장사골야영장,"경남 의령군 대의면 신전리 276,277  ",1,1,0,0,1,1,1,0,1,0,0
541,14773,백야자연휴양림 오토캠핑장,충청북도 음성군 금왕읍 백야리 산 13  ,1,1,0,0,1,1,1,0,1,0,0
653,13990,궁지골 농원,전남 영광군 묘량면 밀재로7길 140 ,1,1,0,0,1,1,1,0,1,0,0
56,30275,성당포구금강체험관야영장,전라북도 익산시 성당면 성당리 283-6  ,1,0,0,0,1,1,1,0,1,0,0
384,16146,놀터글램핑,경기 동두천시 신천로 274-57 (상봉암동) ,1,1,0,0,0,1,1,0,1,0,0
513,14958,국민운문산자연휴양림야영장,경상북도 청도군 운문면 운문로 763  ,1,1,0,0,0,1,1,0,1,0,0
980,12188,희리산해송자연휴양림 자동차야영장,충청남도 서천군 종천면 희리산길 206  ,1,1,0,0,0,1,1,0,1,0,0
1207,10035,다볼펜션,강원도 춘천시 남산면 창촌리 546  ,0,0,0,0,0,1,1,0,1,0,0
200,19170,김천부항댐 산내들 오토캠핑장,경상북도 김천시 지례면 도곡리 722 ,1,1,0,0,1,0,1,0,1,0,0
468,15455,단호샌드파크 자동차야영장,경북 안동시 남후면 풍산단호로 835-35 ,1,1,1,1,0,0,1,0,1,0,0
617,14186,달콤이네 캠핑장,강원 원주시 문막읍 취병로 106 ,1,0,0,1,0,0,1,0,1,0,0
310,17083,(주)양촌여울체험캠프,경상남도 창원시 마산합포구 진전면 의산삼일로 60 ,1,1,1,0,0,0,1,0,1,0,0
686,13761,송도오토캠핑장,충남 태안군 소원면 모항항길 106-22 ,1,1,1,0,0,0,1,0,1,0,0
141,21483,포천 비둘기낭 캠핑장,경기 포천시 영북면 비둘기낭길 116 ,1,1,0,0,0,0,1,0,1,0,0
1159,11042,샛별글램핑,충남 태안군 안면읍 샛별길 238-10 ,1,1,0,0,0,0,1,0,1,0,0
98,24180,당진난지도 국민여가캠핑장,충청남도 당진시 석문면 난지도리 701 ,1,0,0,0,0,0,1,0,1,0,0
243,17981,입화산 참살이 숲 야영장,울산광역시  중구 다운동 8번지 ,1,1,0,0,1,1,0,0,1,0,0
1391,3507,백암온천마을 영농조합법인 야영장,경북 울진군 온정면 온정리 665-2  ,1,1,0,0,1,1,0,0,1,0,0
999,12119,강촌관광농원,강원 춘천시 남산면 오양골길 134 ,0,1,0,0,1,1,0,0,1,0,0
975,12198,토함산 자연휴양림,경상북도 경주시 양북면 불국로 1208-45  ,0,0,0,0,1,1,0,0,1,0,0
1098,11416,옥성 자연휴양림,경상북도 구미시 옥성면 휴양림길 150  ,0,0,0,0,1,1,0,0,1,0,0
344,16622,큐브빌리지글램핑,전남 강진군 대구면 청자로 1339-74 ,1,1,0,1,0,1,0,0,1,0,0
