,조회수,제목,주소,전기,온수,마트.편의점,트렘폴린,운동장,놀이터,산책로,장작판매,물놀이장,와이파이,운동시설
1070,11672,(주)밀모 빨강치마자동차야영장, ,1,1,1,0,0,1,0,0,1,0,0
247,17928,청양고운캠핑장,충남 청양군 청양읍 식물원길 398-1  ,1,1,0,0,0,1,0,0,1,0,0
315,17034,목사골 야영장,전남 곡성군 목사동면 용봉리 425 ,1,1,0,0,0,1,0,0,1,0,0
543,14747,회문랜드 오토캠핑장,전북 순창군 구림면 안정리 233 ,1,1,0,0,0,1,0,0,1,0,0
871,12659,마방캠핑장,경상북도 봉화군 소천면 고선리 510 ,1,1,0,0,0,1,0,0,1,0,0
886,12617,마이웨이 리조트 관광농원,경남 밀양시 산외면 엄광리 1198-1 ,1,1,0,0,0,1,0,0,1,0,0
944,12395,구수곡 자연휴양림,경상북도 울진군 북면 십이령로 2721  ,1,1,0,0,0,1,0,0,1,0,0
1090,11499,민주지산 자연휴양림,충청북도 영동군 용화면 휴양림길 6  ,1,1,0,0,0,1,0,0,1,0,0
1117,11257,행복숲 체험원,충청북도 충주시 노은면 우성1길 191  ,1,1,0,0,0,1,0,0,1,0,0
1166,11005,서건도카라반,제주특별자치도 서귀포시 이어도로 826-51  ,1,1,0,0,0,1,0,0,1,0,0
1270,5260,저스트글램핑,전북 임실군 강진면 이윤길 76 ,1,1,0,0,0,1,0,0,1,0,0
362,16395,축령산 자연휴양림,경기도 남양주시 수동면 축령산로 299  ,0,1,0,0,0,1,0,0,1,0,0
678,13792,흑석산 자연 휴양림,전라남도 해남군 계곡면 산골길 306  ,1,0,0,0,0,1,0,0,1,0,0
1066,11687,옥화 자연휴양림 국민여가캠핑장,충청북도 청주시 상당구 미원면 운암옥화길 140  ,1,0,0,0,0,1,0,0,1,0,0
1113,11317,헤밍웨이 글램핑,전라남도 여수시 망양로 301 ,1,0,0,0,0,1,0,0,1,0,0
730,13385,켄싱턴 호텔 평창 글램핑 빌리지,강원 평창군 진부면 진고개로 231 ,0,0,0,0,0,1,0,0,1,0,0
989,12145,삼밭골글램핑,경상북도 영천시 삼밭골길 107  ,0,0,0,0,0,1,0,0,1,0,0
1046,11789,박달재 자연휴양림캠핑장,충청북도 제천시 백운면 금봉로 223 ,0,0,0,0,0,1,0,0,1,0,0
63,27837,탄도항 노을 캠핑장,경기도 안산시 단원구 대부황금로 17-2  ,0,0,1,1,1,0,0,0,1,0,0
1215,9138,연포제1야영장,충남 태안군 근흥면 연포2길 57 ,1,0,0,0,1,0,0,0,1,0,0
501,15063,증산수도계곡캠핑장,김천시 증산면 수도길 25 ,1,1,1,0,0,0,0,0,1,0,0
940,12404,제일관광캠핑장,경기도 용인시 처인구 원삼면 문촌로 174  ,1,1,1,0,0,0,0,0,1,0,0
339,16670,달빛고운병곡캠핑장,경남 거창군 북상면 병곡길 448 ,1,1,0,0,0,0,0,0,1,0,0
889,12609,에이원 글램핑장 리조트,경상남도 통영시 산양읍 신전리 1401 ,1,1,0,0,0,0,0,0,1,0,0
1075,11634,나봄야영장,전라북도 장수군 천천면 남양리 299-2 ,1,1,0,0,0,0,0,0,1,0,0
1108,11339,하옥히든밸리, ,0,1,0,0,0,0,0,0,1,0,0
493,15097,병목안캠핑장,경기도 안양시 만안구 병목안로247번길 37  ,1,0,0,0,0,0,0,0,1,0,0
263,17662,맑음터공원 캠핑장,경기도 오산시 오산천로 52-0  ,0,0,0,0,0,0,0,0,1,0,0
641,14023,땅끝바다낚시터&글램핑, ,0,0,0,0,0,0,0,0,1,0,0
1033,11892,청풍월드니스글램핑,충북 제천시 청풍면 청풍호로49길 47 ,0,0,0,0,0,0,0,0,1,0,0
1054,11776,더하루야영장,전라북도 무주군 구천동로 543-0  ,0,0,0,0,0,0,0,0,1,0,0
1056,11757,그날카라반,전라북도 무주군 설천면 심곡리 651  ,0,0,0,0,0,0,0,0,1,0,0
1089,11526,산유리캠핑장,경기 가평군 가평읍 분자골로 91 ,0,0,0,0,0,0,0,0,1,0,0
130,22190,지리산오토캠핑장 (호호당),전라남도 구례군 산동면 수락폭포로 170-5  ,1,1,1,0,1,1,1,1,0,0,0
500,15063,금동산야,경기도 포천시 신북면 금동리 277-4  ,1,1,0,0,1,1,1,1,0,0,0
59,28353,구시포 노을 캠핑장,전라북도 고창군 구시포안길 38 ,1,1,0,0,0,1,1,1,0,0,0
502,15040,씨앗골캠핑장,충청북도 청주시 상당구 낭성면 호정대신로 69-34  ,1,1,0,0,0,1,1,1,0,0,0
859,12716,잉카마야박물관&캠핑장,경상북도 문경시 가은읍 전곡길 13-10  ,1,1,0,0,0,1,1,1,0,0,0
618,14183,강릉 노추산 힐링캠프,강원 강릉시 왕산면 노추산로 1271-6 ,1,0,0,0,0,1,1,1,0,0,0
29,38301,회산백련지 오토캠핑장,전라남도 무안군 일로읍 복룡리 203 ,1,1,0,0,1,0,1,1,0,0,0
633,14063,좌구산오토캠핑장,충청북도 증평군 증평읍 율리 259-1  ,1,1,0,0,1,0,1,1,0,0,0
144,21142,몽산포오토캠핑장 2구역,충청남도 태안군 남면 신장리 353-181 ,1,1,1,0,0,0,1,1,0,0,0
662,13943,용인반딧불캠핑장,경기도 용인시 처인구 원삼면 보개원삼로1517번길 153  ,1,1,1,0,0,0,1,1,0,0,0
1240,7673,별난독서문화체험장,경기도 파주시 술이홀로 1315-0 거든산업  ,0,0,1,0,0,0,1,1,0,0,0
444,15641,간월도캠핑장,충청남도 서산시 부석면 간월도리 21-20  ,1,1,0,0,0,0,1,1,0,0,0
504,15029,이화야영장,경북 칠곡군 지천면 황학4길 21 ,1,1,0,0,0,0,1,1,0,0,0
744,13326,깃대 캠핑장,충북 보은군 마로면 세중기대로 261-128 ,1,1,0,0,0,0,1,1,0,0,0
137,21935,금수문화공원 야영장,경상북도 성주군 금수면 무학리 47  ,1,0,0,0,0,0,1,1,0,0,0
1219,8405,힐링스토리펜션야영장,경북 영주시 풍기읍 삼가로 209 ,1,1,0,0,1,1,0,1,0,0,0
229,18203,나라펜션캠핑장,경기 안산시 단원구 장불길 31-23 (대부남동) ,1,1,0,1,0,1,0,1,0,0,0
55,30314,타이거스피드 안녕오토캠핑장,경상남도 창원시 마산합포구 구산면 안녕로 329 ,1,1,0,0,0,1,0,1,0,0,0
192,19485,섬뜰아래,인천 중구 대무의로 229 (무의동) ,1,1,0,0,0,1,0,1,0,0,0
378,16222,밀양캠핑홀릭,경남 밀양시 청도면 조천길 337-64 ,1,1,0,0,0,1,0,1,0,0,0
421,15778,보물섬 캠핑장,경상남도 남해군 남면 남면로1229번길 10-34  ,1,1,0,0,0,1,0,1,0,0,0
511,14983,백사장사계절 숲속야영장,충남 태안군 안면읍 창기리 1292-10번지 ,1,1,0,0,0,1,0,1,0,0,0
759,13237,지리산산내들펜션야영장,전라북도 남원시 산내면 천왕봉로 892  ,1,1,0,0,0,1,0,1,0,0,0
1143,11117,은하캠핑장,경기 가평군 가평읍 잎너비길 18-91 ,1,1,0,0,0,1,0,1,0,0,0
369,16314,가평 사과나무 캠핑장,경기도 가평군 상면 항사리 427-6 외 2필지 ,1,0,0,0,0,1,0,1,0,0,0
1423,3185,너리굴문화마을 캠핑장,경기 안성시 보개면 너리굴길 100 ,1,1,1,0,1,0,0,1,0,0,0
152,20641,평화누리캠핑장,경기 파주시 문산읍 임진각로 148-40 ,1,1,1,0,0,0,0,1,0,0,0
557,14627,달재오토캠핑장,충북 제천시 백운면 덕동로2길 23-13 ,1,1,1,0,0,0,0,1,0,0,0
713,13517,별마로빌리지캠핑장,강원 영월군 김삿갓면 영월동로 1954-40 ,1,1,1,0,0,0,0,1,0,0,0
945,12389,부귀농원 가족캠프,전라북도 진안군 부귀면 귀상로 708-33  ,1,1,1,0,0,0,0,1,0,0,0
971,12220,물가애캠핑장,강원 원주시 호저면 칠봉로 840-73 ,1,1,1,0,0,0,0,1,0,0,0
1197,10448,예그리나숲,강원도 영월군 주천면 중선로 609-4  ,1,1,1,0,0,0,0,1,0,0,0
70,25996,파인힐캠프,충남 예산군 덕산면 외라2길 60-24 ,1,1,0,0,0,0,0,1,0,0,0
82,25094,계방산 오토캠핑장,강원도 평창군 용평면 이승복생가길 160  ,1,1,0,0,0,0,0,1,0,0,0
442,15644,솔잎향캠핑파크,경기 시흥시 수인로2107번길 52 (조남동) ,1,1,0,0,0,0,0,1,0,0,0
550,14701,얏호캠핑장,인천 광역시 강화군 길상면 동검길 159-27 ,1,1,0,0,0,0,0,1,0,0,0
613,14285,천태산 오토캠핑장,경남 양산시 원동면 어영길 263-14 ,1,1,0,0,0,0,0,1,0,0,0
770,13181,반디하우스캠핑장,강원도 인제군 상남면 내린천로 2355  ,1,1,0,0,0,0,0,1,0,0,0
785,13132,리프레쉬 캠핑장,"강원도 평창군 봉평면 흥정리 360-2,360-5,360-9 ",1,1,0,0,0,0,0,1,0,0,0
852,12759,진고개계곡야영장,강원 강릉시 연곡면 진고개로 1016 ,1,1,0,0,0,0,0,1,0,0,0
1148,11093,개미들솔향기야영장,강원도 정선군 남면 광락로 354  ,1,1,0,0,0,0,0,1,0,0,0
1224,8366,강나루야영장,경기 파주시 적성면 어삼로 243 ,1,1,0,0,0,0,0,1,0,0,0
1278,4991,세움내움,경기도 양평군 양평면 양동로 1112 ,1,1,0,0,0,0,0,1,0,0,0
1397,3424,캠핑679,경기 가평군 북면 화악산로 162-21 ,1,1,0,0,0,0,0,1,0,0,0
622,14155,삼산야영장,강원 강릉시 연곡면 진고개로 1296 ,1,0,0,0,0,0,0,1,0,0,0
1318,4323,수승대체험휴양마을,경남 거창군 위천면 원학길 410 ,1,1,1,0,1,1,1,0,0,0,0
181,20065,아산 영인산자연휴양림 숲속야영장,충남 아산시 영인면 아산온천로 16-24 ,1,1,0,0,1,1,1,0,0,0,0
187,19953,땅끝오토캠핑장,전남 해남군 송지면 갈산길 25-15 ,1,1,0,0,1,1,1,0,0,0,0
1367,3768,웰니스 권역 야영장,충남 공주시 우성면 무성산로 296 ,1,1,0,0,1,1,1,0,0,0,0
173,20163,국망봉 자연휴양림캠핑장,경기도 포천시 이동면 장암리 산74 ,1,0,0,0,1,1,1,0,0,0,0
193,19458,여수굴전여가캠핑장,전라남도 여수시 돌산읍 돌산로 3017-15  ,1,0,0,0,1,1,1,0,0,0,0
517,14942,거창 국민여가캠핑장,경상남도 거창군 북상면 덕유월성로 1312-96 ,1,0,0,0,1,1,1,0,0,0,0
275,17490,한천 자연휴양림,전라남도 화순군 한천면 죽헌로 719 ,1,1,0,1,0,1,1,0,0,0,0
507,14995,팔공산금화자연휴양림,경북 칠곡군 가산면 가산로 323 ,0,0,1,0,0,1,1,0,0,0,0
21,41102,안산화랑오토캠핑장,경기도 안산시 단원구 초지동 동산로 268  ,1,1,0,0,0,1,1,0,0,0,0
179,20070,영산강 승촌보캠핑장,광주광역시  남구 승촌동 577  ,1,1,0,0,0,1,1,0,0,0,0
368,16324,거제글램퍼스,경남 거제시 일운면 망치4길 38  ,1,1,0,0,0,1,1,0,0,0,0
382,16200,해오름 관광농원,충청남도 서천군 서면 서인로 576  ,1,1,0,0,0,1,1,0,0,0,0
469,15451,국립유명산자연휴양림(자동차),경기도 가평군 설악면 가일리 산58-1 ,1,1,0,0,0,1,1,0,0,0,0
475,15394,해창만 수변공원 오토캠핑장,전라남도 고흥군 포두면 팔영로 405  ,1,1,0,0,0,1,1,0,0,0,0
453,15592,평사리공원 야영장,경남 하동군 악양면 평사리 85-5 ,1,0,0,0,0,1,1,0,0,0,0
847,12770,백운산 자연휴양림 자동차야영장,전라남도 광양시 옥룡면 백계로 337  ,0,0,1,0,1,0,1,0,0,0,0
90,24666,문장대 야영장,경상북도 상주시 화북면 용유리 340-8 ,1,1,0,0,1,0,1,0,0,0,0
1341,4078,박달재초록꿈캠핑체험장,충북 제천시 백운면 구학산로 690 ,1,1,0,0,1,0,1,0,0,0,0
373,16281,승봉도 캠핑장, ,1,1,1,0,0,0,1,0,0,0,0
1190,10679,철원 평화마을 서울캠핑장,강원 철원군 근북면 유곡로 545 ,1,1,1,0,0,0,1,0,0,0,0
1449,2440,교육가족체험장,충남 부여군 세도면 인세로 40-3 ,1,1,1,0,0,0,1,0,0,0,0
74,25547,진밭골야영장,대구 수성구 진밭길 112 (범물동) ,1,1,0,0,0,0,1,0,0,0,0
122,22618,전월산 국민여가캠핑장,세종특별자치시 연기면 갈매로 169 ,1,1,0,0,0,0,1,0,0,0,0
1191,10600,대기농촌체험휴양마을,경남 합천군 가회면 대기2길 17-3 ,1,1,0,0,0,0,1,0,0,0,0
1312,4409,종이섬 야영장,경남 통영시 용남면 지도해안로 303 ,1,1,0,0,0,0,1,0,0,0,0
40,35589,주왕산국립공원 상의자동차 야영장,경상북도 청송군 주왕산면 상의리 368  ,0,1,0,0,0,0,1,0,0,0,0
254,17864,깊이울유원지 캠핑장,경기 포천시 신북면 깊이울로 71 ,1,0,0,0,0,0,1,0,0,0,0
849,12769,녹두장군 전봉준관,전북 순창군 쌍치면 피노길 65-29 ,1,0,0,0,0,0,1,0,0,0,0
926,12475,흥정계곡오토캠핑장,강원도 평창군 봉평면 흥정계곡4길 6-2  ,1,0,0,0,0,0,1,0,0,0,0
537,14795,학포야영장,경상북도 울릉군 서면 태하리 420 ,0,0,0,0,0,0,1,0,0,0,0
720,13446,중미산 자연휴양림,경기 양평군 옥천면 중미산로 1152 ,0,0,0,0,0,0,1,0,0,0,0
296,17246,공주산림휴양마을,충남 공주시 금학동 140-1  ,1,0,1,0,1,1,0,0,0,0,0
571,14544,국립두타산자연휴양림,강원 평창군 진부면 아차골길 132 ,1,0,1,0,1,1,0,0,0,0,0
1020,11975,포시즌 캠핑장,경기도 가평군 상면 태봉리 535  ,0,0,1,0,1,1,0,0,0,0,0
31,37571,고산 무궁화 오토캠핑장,전북 완주군 고산면 고산휴양림로 89 ,1,1,0,0,1,1,0,0,0,0,0
956,12290,국립가리왕산자연휴양림,강원도 정선군 정선읍 가리왕산로 707  ,1,1,0,0,1,1,0,0,0,0,0
1333,4175,낭도야영장,전남 여수시 화정면 여산길 150 ,1,1,0,0,1,1,0,0,0,0,0
330,16785,동화야영장,대구광역시 동구 팔공산로 199길 6-1(용수동) ,0,0,0,0,1,1,0,0,0,0,0
958,12243,국립나주박물관 야외체험장,전라남도 나주시 반남면 신촌리 277  ,0,0,0,0,1,1,0,0,0,0,0
761,13231,국립검봉산자연휴양림야영장,강원도 삼척시 원덕읍 임원안길 525-145  ,1,1,1,0,0,1,0,0,0,0,0
1025,11960,방태산 자연휴양림 캠핑장,강원 인제군 기린면 방동약수로 89-53 ,0,0,1,0,0,1,0,0,0,0,0
1226,8333,노을길 야영장,전남 무안군 망운면 조금나루길 128-68 ,0,0,1,0,0,1,0,0,0,0,0
48,31338,광주시민의 숲 야영장,광주광역시 북구 월출동 968번지 ,1,1,0,0,0,1,0,0,0,0,0
97,24247,장태산 자연휴양림,대전광역시 서구 장안동 장안로 461  ,1,1,0,0,0,1,0,0,0,0,0
105,23871,하동군 다목적 캠핑장,경상남도 하동군 옥종면 두양리 1073-219  ,1,1,0,0,0,1,0,0,0,0,0
149,20737,작천정 별빛야영장,울산광역시 울주군 상북면 등억리 18-2  ,1,1,0,0,0,1,0,0,0,0,0
235,18115,문장대오토캠핑장,경상북도 상주시 화북면 상오리 573-4  ,1,1,0,0,0,1,0,0,0,0,0
242,17988,국립유명산자연휴양림(일반),경기 가평군 설악면 유명산길 79-53  ,1,1,0,0,0,1,0,0,0,0,0
257,17784,화암동굴야영장,강원도 정선군 화암면 화암동굴길 12-2(어천) ,1,1,0,0,0,1,0,0,0,0,0
309,17084,용현 자연휴양림 야영장,충청남도 서산시 운산면 용현리 산2-37  ,1,1,0,0,0,1,0,0,0,0,0
317,17021,당진해양캠핑공원,충청남도 당진시 신평면 산정길 112  ,1,1,0,0,0,1,0,0,0,0,0
332,16763,송천떡마을야영장,강원도 양양군 서면 송천리 203-2 ,1,1,0,0,0,1,0,0,0,0,0
354,16538,순천국민여가캠핑장,전라남도 순천시 서면 청소년수련원길 170  ,1,1,0,0,0,1,0,0,0,0,0
451,15600,국토정중앙천문대야영장,강원도 양구군 남면 국토정중앙로 127  ,1,1,0,0,0,1,0,0,0,0,0
558,14617,랩도그빌애견캠핑장,경기도 연천군 청창로200번길 33-0  ,1,1,0,0,0,1,0,0,0,0,0
586,14478,봉황산자연휴양림 야영장,전남 여수시 돌산읍 대복길 160 ,1,1,0,0,0,1,0,0,0,0,0
626,14103,강동오토캠핑장,울산광역시 북구 당사동 87  ,1,1,0,0,0,1,0,0,0,0,0
858,12717,장수누리파크 오토캠핑장,전라북도 장수군 장수읍 논개사당길 65 ,1,1,0,0,0,1,0,0,0,0,0
1000,12105,구마이오토캠핑장,경상북도 상주시 내서면 우서로 287-4  ,1,1,0,0,0,1,0,0,0,0,0
1074,11638,염전해변캠핑장,경기 남양주시 수동면 철마산로 32-25 ,1,1,0,0,0,1,0,0,0,0,0
1127,11229,소요별앤숲테마파크,경기 동두천시 평화로2930번길 46 (상봉암동) ,1,1,0,0,0,1,0,0,0,0,0
1137,11161,자연과우리펜션자동차야영장,강원 양양군 현북면 법수치길 277 ,1,1,0,0,0,1,0,0,0,0,0
1199,10421,동그라미캠핑장,강원도 횡성군 안흥면 실미송한길 367-24  ,1,1,0,0,0,1,0,0,0,0,0
1221,8384,구곡폭포 국민여가 캠핑장,강원 춘천시 남산면 강촌구곡길 324 ,1,1,0,0,0,1,0,0,0,0,0
1225,8351,고창군 선운산 국민여가캠핑장,전북 고창군 아산면 선운사로 158-62 ,1,1,0,0,0,1,0,0,0,0,0
1294,4569,속리산 시어동 캠핑장,경북 상주시 화북면 장암리 982-2 ,1,1,0,0,0,1,0,0,0,0,0
1322,4313,계곡 좋은 펜션 야영장,경남 하동군 청암면 아래몰길 24-10 ,1,1,0,0,0,1,0,0,0,0,0
1331,4195,봉황자연휴양림 숲속야영장,충북 충주시 중앙탑면 수룡봉황길 540 ,1,1,0,0,0,1,0,0,0,0,0
1361,3935,백석탄골부리캠핑장,경북 청송군 안덕면 백석탄로 541-21 ,1,1,0,0,0,1,0,0,0,0,0
1413,3259,큰빛내 야영장,경상북도 울진군 금강송면 소광리 127-3  ,1,1,0,0,0,1,0,0,0,0,0
795,13080,국립칠보산자연휴양림,경상북도 영덕군 병곡면 칠보산길 587  ,0,1,0,0,0,1,0,0,0,0,0
1344,4066,사천 케이블카 자연휴양림,경남 사천시 실안길 242-45 (실안동) ,0,1,0,0,0,1,0,0,0,0,0
30,38240,백양사 가인야영장,전라남도 장성군 북하면 약수리 108 ,1,0,0,0,0,1,0,0,0,0,0
264,17657,대운산 자연휴양림,경상남도 양산시 용당동 탑골길 208-124  ,1,0,0,0,0,1,0,0,0,0,0
476,15394,별빛야영장,경상북도 영천시 화북면 별빛로 681-32 ,1,0,0,0,0,1,0,0,0,0,0
510,14986,덕유대 자동차야영장,전라북도 무주군 설천면 삼공리 산60-5  ,1,0,0,0,0,1,0,0,0,0,0
691,13737,도원야영장,전남 화순군 이서면 도원길 80-30 ,1,0,0,0,0,1,0,0,0,0,0
99,24127,사지목 나무그늘,경남 양산시 원동면 늘밭로 201 ,0,0,0,0,0,1,0,0,0,0,0
102,23922,뱀사골 힐링야영장,전북 남원시 산내면 와운길 29 ,0,0,0,0,0,1,0,0,0,0,0
111,23436,국립남해편백자연휴양림,경상남도 남해군 삼동면 금암로 658  ,0,0,0,0,0,1,0,0,0,0,0
154,20593,중산리야영장,경남 산청군 시천면 지리산대로 345 ,0,0,0,0,0,1,0,0,0,0,0
259,17774,주암 오토캠핑장,전남 순천시 주암면 구산강변길 22 ,0,0,0,0,0,1,0,0,0,0,0
279,17424,두곡해수욕장야영장,경남 남해군 남면 남면로111번길 91 ,0,0,0,0,0,1,0,0,0,0,0
386,16137,뱀사골자동차야영장,전라북도 남원시 산내면 부운리 256  ,0,0,0,0,0,1,0,0,0,0,0
441,15645,완주힐조타운 캠핑장,전북 완주군 비봉면 천호로 235-38 ,0,0,0,0,0,1,0,0,0,0,0
591,14447,용추자연휴양림야영장,경상남도 함양군 안의면 용추휴양림길 166  ,0,0,0,0,0,1,0,0,0,0,0
612,14287,웅천친수공원 야영장, ,0,0,0,0,0,1,0,0,0,0,0
710,13548,국립회문산자연휴양림,전라북도 순창군 구림면 안심길 249  ,0,0,0,0,0,1,0,0,0,0,0
790,13124,도사곡자연휴양림야영장,강원도 정선군 사북읍 사북리 447-15  ,0,0,0,0,0,1,0,0,0,0,0
888,12613,국립지리산 자연휴양림,경상남도 함양군 마천면 마천삼정로 1256  ,0,0,0,0,0,1,0,0,0,0,0
1171,10891,아침가리 계곡,강원도 인제군 기린면 진동리 649-1 ,0,0,0,0,0,1,0,0,0,0,0
509,14989,청양 칠갑산 오토캠핑장,충청남도 청양군 대치면 까치내로 710  ,1,1,0,0,1,0,0,0,0,0,0
34,36713,F1 오토캠핑장,전라남도 영암군 삼호읍 삼포리 1894 ,0,1,0,0,1,0,0,0,0,0,0
639,14028,단풍숲캠핑장,경기 용인시 처인구 원삼면 보개원삼로1462번길 14-23 ,0,0,1,1,0,0,0,0,0,0,0
361,16397,VIP오토캠핑장,경남 밀양시 단장면 고례3길 10-11 ,1,0,0,1,0,0,0,0,0,0,0
196,19341,청도군 자전거공원 캠핑장,청도군 청도읍 유호리 39-5 ,1,0,1,0,0,0,0,0,0,0,0
227,18272,곡성 키즈글램핑,전라남도 곡성군 죽곡면 오죽로 132  ,0,0,1,0,0,0,0,0,0,0,0
23,39908,파계 오토캠핑장,대구광역시 동구 파계로 707-14  ,1,1,0,0,0,0,0,0,0,0,0
96,24304,도학 오토캠핑장,대구광역시 동구 도학동 110 ,1,1,0,0,0,0,0,0,0,0,0
115,22952,양주시 미술관옆 캠핑장,경기 양주시 장흥면 권율로 185 ,1,1,0,0,0,0,0,0,0,0,0
133,22047,욕지도 파라다이스 캠핑장,경상남도 통영시 욕지면 유동길 111  ,1,1,0,0,0,0,0,0,0,0,0
145,21136,왜목오토캠핑장,충남 당진시 석문면 왜목길 16-16 ,1,1,0,0,0,0,0,0,0,0,0
171,20197,명파 해변 오토캠핑장,강원 고성군 현내면 명파4길 47 ,1,1,0,0,0,0,0,0,0,0,0
205,18967,파라다이스스파도고 카라반캠핑장,충청남도 아산시 도고면 도고온천로 176  ,1,1,0,0,0,0,0,0,0,0,0
527,14864,황방농원 캠핑장,경기도 양주시 남면 양연로 173번길 49 ,1,1,0,0,0,0,0,0,0,0,0
616,14191,어은돌야영장,충남 태안군 소원면 연들길 67-3  ,1,1,0,0,0,0,0,0,0,0,0
1026,11911,백운산체험농장,경기 평택시 월곡길 124-272 (월곡동) ,1,1,0,0,0,0,0,0,0,0,0
1031,11901,울성캠핑낚시터,경기 평택시 울성길 237-20 (지제동)  ,1,1,0,0,0,0,0,0,0,0,0
1041,11798,꽃내라팜,강원도 고성군 간성읍 꽃내마루길 75  ,1,1,0,0,0,0,0,0,0,0,0
1103,11366,강변 야영장,강원도 인제군 북면 만해로 237 ,1,1,0,0,0,0,0,0,0,0,0
1109,11336,한우물영농조합법인 제주캠핑카라반,제주특별자치도 서귀포시 표선면 표선백사로 176  ,1,1,0,0,0,0,0,0,0,0,0
1124,11233,을수민박야영,강원 홍천군 내면 을수길 187 ,1,1,0,0,0,0,0,0,0,0,0
1167,10975,별 헤는 마을,강원도 춘천시 서면 당림리 280-2  ,1,1,0,0,0,0,0,0,0,0,0
1175,10855,만리포몰디브,충청남도 태안군 소원면 천리포1길 143-22  ,1,1,0,0,0,0,0,0,0,0,0
1206,10206,캠핑494,강원도 평창군 봉평면 흥정계곡길 494  ,1,1,0,0,0,0,0,0,0,0,0
1208,10028,덕유대 자연학습장,전라북도 무주군 설천면 삼공리 산60-5  ,1,1,0,0,0,0,0,0,0,0,0
1426,3155,산마루카라반,경기 포천시 이동면 화동로1724번길 124-14 ,1,1,0,0,0,0,0,0,0,0,0
884,12630,용문산 자연휴양림,경기도 양평군 양평읍 백안3리 산68-1 ,0,1,0,0,0,0,0,0,0,0,0
16,51834,운문산군립공원 소머리 야영장,경상북도 청도군 운문면 신원리 2087  ,1,0,0,0,0,0,0,0,0,0,0
197,19339,소백산국립공원 남천야영장,충청북도 단양군 영춘면 남천계곡로 381-7  ,1,0,0,0,0,0,0,0,0,0,0
478,15293,학천야영장,전북 남원시 산내면 지리산로 712 ,1,0,0,0,0,0,0,0,0,0,0
675,13810,잔야캠핑,충북 괴산군 청천면 도경로 638 ,1,0,0,0,0,0,0,0,0,0,0
688,13747,청옥야영장,경북 봉화군 소천면 청옥로 167 ,1,0,0,0,0,0,0,0,0,0,0
804,13020,A&J오토캠핑장,강원도 원주시 지정면 안창리 산 56-3 ,1,0,0,0,0,0,0,0,0,0,0
976,12196,에코힐글램핑,제주특별자치도 제주시 애월읍 광령평화8길 22 ,1,0,0,0,0,0,0,0,0,0,0
1052,11779,오름새,경기도 여주시 산북면 송현길 111-31 ,1,0,0,0,0,0,0,0,0,0,0
1169,10899,수희재캠프,강원도 영월군 무릉도원면 법흥리 97-2 ,1,0,0,0,0,0,0,0,0,0,0
1213,9153,숲속야영장 횡성대피소,강원 횡성군 우천면 경강로 3770-52 ,1,0,0,0,0,0,0,0,0,0,0
1418,3210,오색 산새소리캠핑장,강원 양양군 서면 설악로 1044 ,1,0,0,0,0,0,0,0,0,0,0
